matchweek,opponent,G,GA,points,date
1,Crystal Palace,2,0,3,2022-08-05
2,Leicester City,4,2,3,2022-08-13
3,Bournemouth,3,0,3,2022-08-20
4,Fulham,2,1,3,2022-08-27
5,Aston Villa,2,1,3,2022-08-31
6,Manchester Utd,1,3,0,2022-09-04
8,Brentford,3,0,3,2022-09-18
9,Tottenham,3,1,3,2022-10-01
10,Liverpool,3,2,3,2022-10-09
11,Leeds United,1,0,3,2022-10-16
13,Southampton,1,1,1,2022-10-23
14,Nott'ham Forest,5,0,3,2022-10-30
15,Chelsea,1,0,3,2022-11-06
16,Wolves,2,0,3,2022-11-12
17,West Ham,3,1,3,2022-12-26
18,Brighton,4,2,3,2022-12-31
19,Newcastle Utd,0,0,1,2023-01-03
20,Tottenham,2,0,3,2023-01-15
21,Manchester Utd,3,2,3,2023-01-22
22,Everton,0,1,0,2023-02-04
23,Brentford,1,1,1,2023-02-11
12,Manchester City,1,3,0,2023-02-15
24,Aston Villa,4,2,3,2023-02-18
25,Leicester City,1,0,3,2023-02-25
7,Everton,4,0,3,2023-03-01
26,Bournemouth,3,2,3,2023-03-04
27,Fulham,3,0,3,2023-03-12
28,Crystal Palace,4,1,3,2023-03-19
29,Leeds United,4,1,3,2023-04-01
30,Liverpool,2,2,1,2023-04-09
31,West Ham,2,2,1,2023-04-16
