matchweek,team_home,team_away,team_shot,expected_goals
1,Crystal Palace,Arsenal,Arsenal,0.15
1,Crystal Palace,Arsenal,Arsenal,0.22
1,Crystal Palace,Arsenal,Arsenal,0.03
1,Crystal Palace,Arsenal,Arsenal,0.1
1,Crystal Palace,Arsenal,Arsenal,0.16
1,Crystal Palace,Arsenal,Crystal Palace,0.1
1,Crystal Palace,Arsenal,Crystal Palace,0.04
1,Crystal Palace,Arsenal,Crystal Palace,0.08
1,Crystal Palace,Arsenal,Crystal Palace,0.04
1,Crystal Palace,Arsenal,Arsenal,0.05
1,Crystal Palace,Arsenal,Crystal Palace,0.49
1,Crystal Palace,Arsenal,Arsenal,0.03
1,Crystal Palace,Arsenal,Crystal Palace,0.03
1,Crystal Palace,Arsenal,Arsenal,0.09
1,Crystal Palace,Arsenal,Crystal Palace,0.06
1,Crystal Palace,Arsenal,Crystal Palace,0.05
1,Crystal Palace,Arsenal,Crystal Palace,0.17
1,Crystal Palace,Arsenal,Crystal Palace,0.14
1,Crystal Palace,Arsenal,Arsenal,0.09
1,Crystal Palace,Arsenal,Arsenal,0.08
2,Arsenal,Leicester City,Leicester City,0.11
2,Arsenal,Leicester City,Arsenal,0.14
2,Arsenal,Leicester City,Arsenal,0.05
2,Arsenal,Leicester City,Arsenal,0.04
2,Arsenal,Leicester City,Arsenal,0.06
2,Arsenal,Leicester City,Arsenal,0.07
2,Arsenal,Leicester City,Arsenal,0.19
2,Arsenal,Leicester City,Arsenal,0.03
2,Arsenal,Leicester City,Arsenal,0.81
2,Arsenal,Leicester City,Arsenal,0.02
2,Arsenal,Leicester City,Arsenal,0.33
2,Arsenal,Leicester City,Arsenal,0.34
2,Arsenal,Leicester City,Arsenal,0.03
2,Arsenal,Leicester City,Leicester City,0.03
2,Arsenal,Leicester City,Leicester City,0.07
2,Arsenal,Leicester City,Arsenal,0.04
2,Arsenal,Leicester City,Leicester City,0.09
2,Arsenal,Leicester City,Arsenal,0.05
2,Arsenal,Leicester City,Leicester City,0.03
2,Arsenal,Leicester City,Arsenal,0.04
2,Arsenal,Leicester City,Arsenal,0.35
2,Arsenal,Leicester City,Arsenal,0.18
2,Arsenal,Leicester City,Arsenal,0.18
2,Arsenal,Leicester City,Leicester City,0.13
2,Arsenal,Leicester City,Arsenal,0.04
3,Bournemouth,Arsenal,Arsenal,0.18
3,Bournemouth,Arsenal,Arsenal,0.47
3,Bournemouth,Arsenal,Arsenal,0.15
3,Bournemouth,Arsenal,Arsenal,0.1
3,Bournemouth,Arsenal,Arsenal,0.02
3,Bournemouth,Arsenal,Arsenal,0.02
3,Bournemouth,Arsenal,Arsenal,0.02
3,Bournemouth,Arsenal,Arsenal,0.05
3,Bournemouth,Arsenal,Bournemouth,0.03
3,Bournemouth,Arsenal,Bournemouth,0.08
